CacheSize,BlockSize,Associativity,WritePolicy,WriteMissPolicy,EvictPolicy,TotalReads,ReadMisses,TotalWrites,WriteMisses,TotalLatency
4096,32,16,--WriteBack,--NoWriteAllocate,--LRU,112576,1797,65042,3597,1886514
4096,32,16,--WriteThrough,--WriteAllocate,--LRU,112576,1356,65042,920,15342814
4096,32,16,--WriteThrough,--NoWriteAllocate,--LRU,112576,1797,65042,3597,15237434
4096,32,32,--WriteBack,--WriteAllocate,--LRU,112576,1350,65042,918,1303294
4096,32,32,--WriteBack,--NoWriteAllocate,--LRU,112576,1788,65042,3587,1879914
4096,32,32,--WriteThrough,--WriteAllocate,--LRU,112576,1350,65042,918,15341054
4096,32,32,--WriteThrough,--NoWriteAllocate,--LRU,112576,1788,65042,3587,15235454
4096,64,1,--WriteBack,--WriteAllocate,--LRU,112576,6956,65042,2050,3316514
4096,64,1,--WriteBack,--NoWriteAllocate,--LRU,112576,7566,65042,8267,4536194
4096,64,1,--WriteThrough,--WriteAllocate,--LRU,112576,6956,65042,2050,16823414
4096,64,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,7566,65042,8267,16506614
4096,64,2,--WriteBack,--WriteAllocate,--LRU,112576,3344,65042,927,1831294
4096,64,2,--WriteBack,--NoWriteAllocate,--LRU,112576,3387,65042,5395,2689734
4096,64,2,--WriteThrough,--WriteAllocate,--LRU,112576,3344,65042,927,15781714
4096,64,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,3387,65042,5395,15587234
4096,64,4,--WriteBack,--WriteAllocate,--LRU,112576,1243,65042,521,1109254
4096,64,4,--WriteBack,--NoWriteAllocate,--LRU,112576,1485,65042,3147,1682354
4096,64,4,--WriteThrough,--WriteAllocate,--LRU,112576,1243,65042,521,15230174
4096,64,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,1485,65042,3147,15168794
4096,64,8,--WriteBack,--WriteAllocate,--LRU,112576,1014,65042,496,1030494
4096,64,8,--WriteBack,--NoWriteAllocate,--LRU,112576,1271,65042,3081,1602494
4096,64,8,--WriteThrough,--WriteAllocate,--LRU,112576,1014,65042,496,15174294
4096,64,8,--WriteThrough,--NoWriteAllocate,--LRU,112576,1271,65042,3081,15121714
4096,64,16,--WriteBack,--WriteAllocate,--LRU,112576,978,65042,499,1023454
4096,64,16,--WriteBack,--NoWriteAllocate,--LRU,112576,1243,65042,3068,1593034
4096,64,16,--WriteThrough,--WriteAllocate,--LRU,112576,978,65042,499,15167034
4096,64,16,--WriteThrough,--NoWriteAllocate,--LRU,112576,1243,65042,3068,15115554
4096,64,32,--WriteBack,--WriteAllocate,--LRU,112576,978,65042,493,1020374
4096,64,32,--WriteBack,--NoWriteAllocate,--LRU,112576,1246,65042,3054,1590834
4096,64,32,--WriteThrough,--WriteAllocate,--LRU,112576,978,65042,493,15165714
4096,64,32,--WriteThrough,--NoWriteAllocate,--LRU,112576,1246,65042,3054,15116214
4096,128,1,--WriteBack,--WriteAllocate,--LRU,112576,7360,65042,2200,3475794
4096,128,1,--WriteBack,--NoWriteAllocate,--LRU,112576,7775,65042,8712,4675234
